id,id_tienda,unidad_negocio,mes,anio,inventario,ventas
1,1,"CALZADO CASUAL HOMBRE",Enero,2025,47126,13063
2,1,"CALZADO CASUAL HOMBRE",Febrero,2025,56260,13689
3,1,"CALZADO CASUAL HOMBRE",Marzo,2025,62156,17013
4,1,"CALZADO CASUAL HOMBRE",Abril,2025,60036,15421
5,1,"CALZADO CASUAL HOMBRE",Mayo,2025,59348,15862
6,1,"CALZADO CASUAL MUJER",Enero,2025,52699,11632
7,1,"CALZADO CASUAL MUJER",Febrero,2025,65836,12708
8,1,"CALZADO CASUAL MUJER",Marzo,2025,65805,17153
9,1,"CALZADO CASUAL MUJER",Abril,2025,59415,17036
10,1,"CALZADO CASUAL MUJER",Mayo,2025,55422,17729
11,1,"CALZADO NIÑOS",Enero,2025,35117,7741
12,1,"CALZADO NIÑOS",Febrero,2025,30138,5816
13,1,"CALZADO NIÑOS",Marzo,2025,37676,6458
14,1,"CALZADO NIÑOS",Abril,2025,38208,6603
15,1,"CALZADO NIÑOS",Mayo,2025,38337,8670
16,1,"TENNIS DEPORTIVOS",Enero,2025,66076,23752
17,1,"TENNIS DEPORTIVOS",Febrero,2025,86015,18100
18,1,"TENNIS DEPORTIVOS",Marzo,2025,119409,22149
19,1,"TENNIS DEPORTIVOS",Abril,2025,115471,23557
20,1,"TENNIS DEPORTIVOS",Mayo,2025,101440,22259
21,1,ACCESORIOS,Enero,2025,3148,99
22,1,ACCESORIOS,Febrero,2025,2976,62
23,1,ACCESORIOS,Marzo,2025,2942,87
24,1,ACCESORIOS,Abril,2025,2874,51
25,1,ACCESORIOS,Mayo,2025,2887,96
26,2,"CALZADO CASUAL HOMBRE",Enero,2025,85916,43069
27,2,"CALZADO CASUAL HOMBRE",Febrero,2025,118964,44874
28,2,"CALZADO CASUAL HOMBRE",Marzo,2025,143314,54096
29,2,"CALZADO CASUAL HOMBRE",Abril,2025,135609,48192
30,2,"CALZADO CASUAL HOMBRE",Mayo,2025,125146,55146
31,2,"CALZADO CASUAL MUJER",Enero,2025,98195,30490
32,2,"CALZADO CASUAL MUJER",Febrero,2025,135556,32523
33,2,"CALZADO CASUAL MUJER",Marzo,2025,148936,44904
34,2,"CALZADO CASUAL MUJER",Abril,2025,134983,39270
35,2,"CALZADO CASUAL MUJER",Mayo,2025,117099,42116
36,2,"CALZADO NIÑOS",Enero,2025,75285,20613
37,2,"CALZADO NIÑOS",Febrero,2025,55783,15286
38,2,"CALZADO NIÑOS",Marzo,2025,71682,17228
39,2,"CALZADO NIÑOS",Abril,2025,77263,19162
40,2,"CALZADO NIÑOS",Mayo,2025,72017,23633
41,2,"TENNIS DEPORTIVOS",Enero,2025,186101,55032
42,2,"TENNIS DEPORTIVOS",Febrero,2025,219246,51602
43,2,"TENNIS DEPORTIVOS",Marzo,2025,292047,68681
44,2,"TENNIS DEPORTIVOS",Abril,2025,295448,62033
45,2,"TENNIS DEPORTIVOS",Mayo,2025,245076,65778
46,2,ACCESORIOS,Enero,2025,4374,428
47,2,ACCESORIOS,Febrero,2025,3790,353
48,2,ACCESORIOS,Marzo,2025,3572,229
49,2,ACCESORIOS,Abril,2025,3373,249
50,2,ACCESORIOS,Mayo,2025,3381,246
51,3,"CALZADO CASUAL HOMBRE",Enero,2025,66715,33641
52,3,"CALZADO CASUAL HOMBRE",Febrero,2025,76541,35127
53,3,"CALZADO CASUAL HOMBRE",Marzo,2025,95302,42269
54,3,"CALZADO CASUAL HOMBRE",Abril,2025,85652,36420
55,3,"CALZADO CASUAL HOMBRE",Mayo,2025,83633,41168
56,3,"CALZADO CASUAL MUJER",Enero,2025,60805,26575
57,3,"CALZADO CASUAL MUJER",Febrero,2025,81974,28618
58,3,"CALZADO CASUAL MUJER",Marzo,2025,89593,37427
59,3,"CALZADO CASUAL MUJER",Abril,2025,76805,33686
60,3,"CALZADO CASUAL MUJER",Mayo,2025,71703,34716
61,3,"CALZADO NIÑOS",Enero,2025,43589,15303
62,3,"CALZADO NIÑOS",Febrero,2025,34415,11656
63,3,"CALZADO NIÑOS",Marzo,2025,40752,14560
